Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Electricity:Facility [J](Hourly)
 07/01  22:00:00,35.25,21.33333333,3.908333333,0,0,1968020450
 07/01  23:00:00,34.65,25.33333333,7.3,0,0,1715119107
 07/01  24:00:00,33.75833333,27.58333333,6.35,0,0,1865307070
 07/02  01:00:00,33.00833333,29.75,3.141666667,0,0,1670359127
 07/02  02:00:00,31.51666667,36.25,3.266666667,0,0,1783497473
 07/02  03:00:00,29.9,42.91666667,3.808333333,0,0,1634078465
 07/02  04:00:00,28.75833333,48.5,3.016666667,0,0,1679373501
 07/02  05:00:00,28.00833333,51,2.891666667,0,0,1790906108
 07/02  06:00:00,28.44166667,46.91666667,2.808333333,16.83333333,11.66666667,1661466041
 07/02  07:00:00,29.19166667,44.58333333,3.183333333,85.25,58.33333333,1872514807
 07/02  08:00:00,30.39166667,40.91666667,4.533333333,186,39.58333333,1936602204
 07/02  09:00:00,31.45,36.83333333,4.266666667,250.1666667,64.66666667,1927060419
 07/02  10:00:00,32.98333333,33.66666667,3.016666667,345.5833333,165.5833333,1714220844
 07/02  11:00:00,34.89166667,30.25,2.6,460.6666667,216.9166667,1865812065
 07/02  12:00:00,35.6,27.83333333,2.6,518,277.0833333,1754981666
 07/02  13:00:00,36.53333333,25.25,2.6,476,441.6666667,1866533621
 07/02  14:00:00,37.55,24,2.891666667,332.75,585.1666667,1765179131
 07/02  15:00:00,38.09166667,23.41666667,3.683333333,239,662.5833333,1906282594
 07/02  16:00:00,38.65,21.83333333,3.808333333,174.4166667,733.5833333,1964875466
 07/02  17:00:00,38.55,21.58333333,3.016666667,209.25,503.75,2225529089
 07/02  18:00:00,38.3,22,2.6,162.3333333,326.6666667,2091036509
 07/02  19:00:00,36.375,27.25,7.091666667,47.25,36,2112871939
 07/02  20:00:00,30.15833333,47.91666667,7.616666667,8.333333333,2.083333333,2076663185
 07/02  21:00:00,27.98333333,54.75,4.766666667,0,0,2165579635
 07/02  22:00:00,26.275,67.33333333,4.1,0,0,1930858583
 07/02  23:00:00,24.75,80.75,3.516666667,0,0,1862985004
 07/02  24:00:00,26.28333333,74.41666667,1.875,0,0,2071278063
 07/03  01:00:00,26.26666667,73.66666667,2.808333333,0,0,1991846695
 07/03  02:00:00,24.9,79.91666667,3.225,0,0,1476260221
 07/03  03:00:00,24.75,77.33333333,2.308333333,0,0,1980283105
 07/03  04:00:00,24.65,80.41666667,2.683333333,0,0,1170034942
 07/03  05:00:00,24.75,81.5,1.291666667,0,0,1856284937
 07/03  06:00:00,25,79,0,15.5,0,2748243313
 07/03  07:00:00,24.35833333,83.66666667,0.875,72.58333333,7.5,3339471503
 07/03  08:00:00,24.54166667,84.08333333,1.5,173.1666667,54.41666667,5367074697
 07/03  09:00:00,25.99166667,77.33333333,0.625,216.5833333,129.9166667,5345406533
 07/03  10:00:00,27.98333333,67.58333333,3.033333333,370.3333333,273.5833333,5272509019
 07/03  11:00:00,29.89166667,59.5,4.266666667,279.1666667,622.9166667,5364244703
 07/03  12:00:00,30.6,52.91666667,3.016666667,326.3333333,585.3333333,5094764895
 07/03  13:00:00,31.88333333,45.33333333,2.6,292.6666667,631.6666667,5284687692
 07/03  14:00:00,33.09166667,41.41666667,5.283333333,304.3333333,603.0833333,5360653380
 07/03  15:00:00,33.65,36.91666667,6.616666667,243.9166667,623.3333333,5344135519
 07/03  16:00:00,33.25833333,34.58333333,4.975,183.4166667,434,5425309671
 07/03  17:00:00,29.88333333,51.33333333,4.1,165.25,164.5,4956726677
 07/03  18:00:00,27.8,61.83333333,4.741666667,130.4166667,97.75,4150057376
 07/03  19:00:00,27.15833333,59.25,5.2,74.33333333,63.08333333,3938163251
 07/03  20:00:00,26.35,67.33333333,4.558333333,12.16666667,6.5,3495554286
 07/03  21:00:00,25.10833333,65.83333333,4.741666667,0,0,3411102129
 07/03  22:00:00,23.75833333,63.5,5.2,0,0,1257681227
 07/03  23:00:00,23.00833333,67.75,4.266666667,0,0,1079968036
 07/03  24:00:00,22.45,70.16666667,3.308333333,0,0,856540487.3
 07/04  01:00:00,21.90833333,75.66666667,2.808333333,0,0,856540480.5
 07/04  02:00:00,21.7,79,2.308333333,0,0,856540448.3
 07/04  03:00:00,21.35,80.16666667,2.1,0,0,856540500
 07/04  04:00:00,20.80833333,82.75,2.975,0,0,900540362.6
 07/04  05:00:00,20.25,84,2.375,0,0,988543384
 07/04  06:00:00,19.65,85.75,1.85,12,165,1041511038
 07/04  07:00:00,21.38333333,78.83333333,1.75,34.33333333,575.5,2167699267
 07/04  08:00:00,24.08333333,67.75,1.5,52.33333333,766.1666667,2053338045
 07/04  09:00:00,27.91666667,51.75,2.141666667,68.91666667,859.9166667,1983931163
 07/04  10:00:00,30.99166667,37.75,3.475,82.33333333,910.3333333,1594651089
 07/04  11:00:00,32.34166667,35.75,4.1,91.08333333,934.5,1810059574
 07/04  12:00:00,33.44166667,32.91666667,3.225,95.91666667,952.5,1608592143
 07/04  13:00:00,34.89166667,27.08333333,4.116666667,97.5,958.5833333,1789564556
 07/04  14:00:00,36.24166667,25,4.266666667,95.33333333,953.0833333,1607413974
 07/04  15:00:00,36.99166667,24.41666667,3.891666667,89.91666667,938.1666667,1839166311
 07/04  16:00:00,37.55,22.25,3.225,80.58333333,912.1666667,1804623625
 07/04  17:00:00,37.8,19.25,3.475,67.41666667,865.75,2123201819
 07/04  18:00:00,37.8,17.41666667,2.933333333,51.16666667,771.1666667,1903358627
 07/04  19:00:00,37.15833333,18.16666667,2.683333333,32.58333333,557.1666667,2000529754
 07/04  20:00:00,35.70833333,20.75,3.391666667,9.5,123.8333333,1865177120
 07/04  21:00:00,34.35833333,24.33333333,3.016666667,0,0,2047359811
 07/04  22:00:00,32.90833333,28.91666667,3.475,0,0,1776289599
 07/04  23:00:00,31.55833333,24.58333333,4.1,0,0,1781625065
 07/04  24:00:00,30.10833333,17.66666667,2.583333333,0,0,1674103624
 07/05  01:00:00,28.46666667,17.16666667,2.433333333,0,0,1667177061
 07/05  02:00:00,27.15833333,19.75,3.1,0,0,1713680475
 07/05  03:00:00,26.35,21,3.391666667,0,0,1537798528
 07/05  04:00:00,25.45833333,22.75,2.375,0,0,1412498337
 07/05  05:00:00,22.725,32.16666667,1.85,0,0,1257684301
 07/05  06:00:00,20.80833333,42.66666667,2.683333333,19.16666667,41.5,2177787407
 07/05  07:00:00,21.88333333,47.16666667,3.391666667,83.25,186.4166667,2604560261
 07/05  08:00:00,24.725,43.91666667,2.725,150.9166667,368.75,4762115156
 07/05  09:00:00,28.725,29.33333333,3.266666667,83.91666667,811.25,4774286523
 07/05  10:00:00,31.24166667,18.08333333,3.808333333,82.83333333,928.0833333,4653472248
 07/05  11:00:00,32.63333333,18.33333333,3.308333333,91.25,954.4166667,4721761902
 07/05  12:00:00,34.64166667,17.08333333,2.516666667,96.83333333,972.0833333,4580179411
 07/05  13:00:00,36.53333333,12.66666667,2.975,98.5,980.1666667,4840715656
 07/05  14:00:00,37.2,11.58333333,3.891666667,96.16666667,973.6666667,4891660377
 07/05  15:00:00,37.55,12.58333333,4.1,93.16666667,949.5833333,4970680414
 07/05  16:00:00,38.09166667,11.83333333,4.1,98.5,889.0833333,5204826427
 07/05  17:00:00,38.3,12.16666667,4.391666667,88,821,4765478586
 07/05  18:00:00,38.00833333,12.41666667,4.95,68.41666667,701.9166667,3965988745
 07/05  19:00:00,37.45,13.16666667,3.975,52.58333333,456.9166667,3848469824
 07/05  20:00:00,36.26666667,14,2.808333333,11.58333333,114.8333333,3270144733
 07/05  21:00:00,34.9,14.58333333,2.891666667,0,0,3172044733
 07/05  22:00:00,33.11666667,15.58333333,3.1,0,0,2016599050
 07/05  23:00:00,31.55833333,16.58333333,3.391666667,0,0,1832158973
 07/05  24:00:00,30.10833333,17,3.308333333,0,0,1754791540
 07/06  01:00:00,28.75833333,16.41666667,3.1,0,0,1666002173
 07/06  02:00:00,27.36666667,16.58333333,2.516666667,0,0,1556388383
 07/06  03:00:00,26.7,16.41666667,2.391666667,0,0,1586052450
 07/06  04:00:00,24.71666667,20.66666667,2.308333333,0,0,1145033988
 07/06  05:00:00,21.375,28.08333333,2.683333333,0,0,1257684258
 07/06  06:00:00,20,38.58333333,3.1,18,68.5,2124288981
 07/06  07:00:00,21.63333333,42.25,3.975,67.83333333,323.9166667,2590929275
 07/06  08:00:00,25.36666667,31.08333333,4.6,124.5833333,537.75,4738958860
 07/06  09:00:00,29.475,19.33333333,4.016666667,138,719,4756430431
 07/06  10:00:00,32.38333333,14.83333333,3.308333333,176.3333333,773.0833333,4691376359
 07/06  11:00:00,33.65,12.83333333,2.516666667,306.0833333,604.0833333,4755533815
 07/06  12:00:00,35.18333333,11.41666667,2.391666667,272.75,704.0833333,4583576899
 07/06  13:00:00,36.45,11,3.183333333,187.5,873.6666667,4886169419
 07/06  14:00:00,37.63333333,11,3.891666667,166.6666667,885.9166667,4987051037
 07/06  15:00:00,38.3,11,1.708333333,156.4166667,863.8333333,5077403109
 07/06  16:00:00,39.29166667,11,3.033333333,141.3333333,820.4166667,5348726717
 07/06  17:00:00,39.35833333,11,4.266666667,118.0833333,748,4898077842
 07/06  18:00:00,38.55,11.58333333,4.183333333,88.75,616.25,4028350712
 07/06  19:00:00,38.00833333,12,4.016666667,54.16666667,368.5833333,3875811833
 07/06  20:00:00,37.15833333,12.58333333,3.016666667,12.33333333,45.33333333,3296911112
 07/06  21:00:00,35.06666667,16.5,2.308333333,0,0,3215744547
 07/06  22:00:00,32.90833333,19,2.391666667,0,0,2026377384
 07/06  23:00:00,31.55833333,20.75,2.308333333,0,0,1955186073
 07/06  24:00:00,29.81666667,25.5,2.1,0,0,1685364925
 07/07  01:00:00,27.90833333,32.08333333,1.75,0,0,1824357199
 07/07  02:00:00,26.55833333,37.33333333,1.5,0,0,1776016385
 07/07  03:00:00,27.09166667,36.08333333,1.5,0,0,1762661207
 07/07  04:00:00,25.175,39.25,1.5,0,0,1254843436
 07/07  05:00:00,23.94166667,42.41666667,1.85,0,0,1257684307
 07/07  06:00:00,23.46666667,43.16666667,1.75,13.33333333,125.5,2331254126
 07/07  07:00:00,23.73333333,41.66666667,2.141666667,57.33333333,420.9166667,2717353344
 07/07  08:00:00,27.31666667,29.5,1.958333333,171.8333333,255.3333333,4850045516
 07/07  09:00:00,30.39166667,18.5,0.625,279.4166667,133.5,4808737920
 07/07  10:00:00,32.09166667,15.41666667,0.875,392.3333333,97.5,4692028006
 07/07  11:00:00,34.43333333,16.16666667,2.141666667,424.6666667,245.0833333,4842488498
 07/07  12:00:00,36.24166667,17,2.6,452.3333333,306.8333333,4738241053
 07/07  13:00:00,37.34166667,16.41666667,1.083333333,363.25,518.75,5037071011
 07/07  14:00:00,38.73333333,16.58333333,1.225,242.5833333,710.8333333,5149091354
 07/07  15:00:00,39.4,17,3.558333333,291.6666667,562.8333333,5263197114
 07/07  16:00:00,39.75,16.41666667,4.016666667,187,714.5833333,5521117359
 07/07  17:00:00,39.65,16,3.6,226.0833333,518.5833333,5060682852
 07/07  18:00:00,39.75,16,3.308333333,147.9166667,403.75,4206312153
 07/07  19:00:00,39.35833333,16.58333333,3.391666667,71.41666667,304.1666667,4059303323
 07/07  20:00:00,37.90833333,18.75,3.6,14.08333333,38.83333333,3468976748
 07/07  21:00:00,36.26666667,22.33333333,3.016666667,0,0,3404988617
 07/07  22:00:00,34.25833333,27.5,2.308333333,0,0,2186182715
 07/07  23:00:00,32.01666667,32.33333333,0.875,0,0,2009834811
 07/07  24:00:00,30.10833333,35.16666667,0.583333333,0,0,1705344226
 07/08  01:00:00,29.10833333,36.58333333,1,0,0,1623412660
 07/08  02:00:00,28.9,33.5,1.933333333,0,0,1562717855
 07/08  03:00:00,28.25833333,32.75,1.958333333,0,0,1544583693
 07/08  04:00:00,28.09166667,32.83333333,1.208333333,0,0,1532982593
 07/08  05:00:00,26.725,36.66666667,1.641666667,0,0,1615219627
 07/08  06:00:00,25.89166667,38.83333333,2.1,16.5,76.33333333,2385219993
 07/08  07:00:00,28.375,36.25,1.75,56.58333333,382.8333333,2531751854
 07/08  08:00:00,31.925,32.08333333,1.85,91.08333333,613.6666667,3652878567
 07/08  09:00:00,34.93333333,25.91666667,2.1,120.1666667,738.5833333,3666250183
 07/08  10:00:00,37.09166667,24.16666667,3.266666667,141.8333333,805.8333333,3630863942
 07/08  11:00:00,38.44166667,22.08333333,3.808333333,157.1666667,847.3333333,3698254089
 07/08  12:00:00,39.89166667,19.41666667,3.6,165.75,866.3333333,3709571877
 07/08  13:00:00,41.53333333,17.25,2.725,168.25,875.9166667,3756668991
 07/08  14:00:00,42.84166667,14.25,2.975,164.9166667,872.9166667,2841800152
 07/08  15:00:00,43.65,12.41666667,3.6,156.1666667,852.9166667,2856439887
 07/08  16:00:00,43.55,11.41666667,2.375,140.5833333,814.6666667,2974080937
 07/08  17:00:00,43.3,11.58333333,1.85,118,741.5833333,2806126162
 07/08  18:00:00,43.00833333,13.16666667,3.908333333,88.75,608.5,2118285406
 07/08  19:00:00,42.15833333,12.83333333,4.558333333,54.5,369.4166667,1868436889
 07/08  20:00:00,40.70833333,13.75,2.933333333,13.16666667,54.66666667,2116676143
 07/08  21:00:00,38.36666667,16.75,2.1,0,0,1900220725
 07/08  22:00:00,36.26666667,20.91666667,2.1,0,0,1998068699
 07/08  23:00:00,34.9,24.75,2.1,0,0,1720389568
 07/08  24:00:00,33.75833333,26.58333333,4.2,0,0,1855575273
 07/09  01:00:00,33.00833333,26.41666667,3.6,0,0,1648021794
 07/09  02:00:00,33.73333333,23.66666667,2.975,0,0,1820305060
 07/09  03:00:00,33.46666667,24.33333333,3.016666667,0,0,1634368154
 07/09  04:00:00,32.15833333,28.33333333,2.6,0,0,1775570753
 07/09  05:00:00,30.70833333,33.5,2.6,0,0,1787900506
 07/09  06:00:00,29.35833333,38.33333333,2.308333333,14.83333333,49.16666667,1791041702
 07/09  07:00:00,29.54166667,39.41666667,2.1,59.25,275.5833333,2076968268
 07/09  08:00:00,30.99166667,38.41666667,2.975,103.6666667,533.75,2003351450
 07/09  09:00:00,32.98333333,33.91666667,2.725,100.25,776.5,2032467944
 07/09  10:00:00,34.54166667,30.41666667,2.975,114.6666667,850.6666667,1750345718
 07/09  11:00:00,36.28333333,28.25,2.725,127.0833333,884.6666667,1908450717
 07/09  12:00:00,37.55,25.25,2.975,133.9166667,903.9166667,1788150597
 07/09  13:00:00,38.44166667,23.41666667,2.725,136.4166667,908.8333333,1905198576
 07/09  14:00:00,39.89166667,20.08333333,3.266666667,134,907.0833333,1797408684
 07/09  15:00:00,41.53333333,17.41666667,4.741666667,126.5833333,888.9166667,1938289067
 07/09  16:00:00,42.2,17,5.783333333,114,853.4166667,2035399684
 07/09  17:00:00,42.2,16.41666667,5.908333333,95.66666667,791.8333333,2292617535
 07/09  18:00:00,42.2,15.41666667,5.408333333,72.41666667,676.25,2165840351
 07/09  19:00:00,41.55833333,15,3.975,45.25,441.5833333,2158629231
 07/09  20:00:00,40.10833333,15.58333333,2.516666667,11.5,76,2071071920
 07/09  21:00:00,37.475,19.5,1.458333333,0,0,2141781588
 07/09  22:00:00,34.81666667,25.5,1.933333333,0,0,1932416183
 07/09  23:00:00,32.90833333,28.58333333,2.891666667,0,0,1924316526
 07/09  24:00:00,32.2,30.75,2.808333333,0,0,1940539243
 07/10  01:00:00,31.90833333,32,3.183333333,0,0,2052530759
 07/10  02:00:00,30.70833333,33.75,3.308333333,0,0,1867755117
 07/10  03:00:00,29.65,35.58333333,3.975,0,0,1952500939
 07/10  04:00:00,29.4,37.75,4.308333333,0,0,1803936629
 07/10  05:00:00,28.46666667,43.08333333,3.225,0,0,2114163204
 07/10  06:00:00,28.09166667,44.83333333,3.183333333,16.83333333,21.33333333,2557003051
 07/10  07:00:00,28.94166667,44.58333333,3.308333333,78.91666667,107.4166667,3092625906
 07/10  08:00:00,32.025,39.75,4.325,129.25,376,5338737936
 07/10  09:00:00,34.89166667,35.41666667,4.85,123.5,707.4166667,5472784912
 07/10  10:00:00,36.53333333,31.5,5.241666667,141.75,799.4166667,5378974205
 07/10  11:00:00,37.84166667,27.25,5.058333333,157.1666667,841.25,5396410708
 07/10  12:00:00,38.65,24.25,3.433333333,165.75,863.75,5143765727
 07/10  13:00:00,40.18333333,20.66666667,3.183333333,168.25,872.5,5393975243
 07/10  14:00:00,41.1,19,2.725,164.9166667,867,5472120978
 07/10  15:00:00,41.74166667,18.41666667,2.975,156.1666667,845.3333333,5563103977
 07/10  16:00:00,42.55,17.41666667,4.183333333,145.75,798.6666667,5821745063
 07/10  17:00:00,42.45,15.83333333,3.141666667,146.0833333,693.75,5275447437
 07/10  18:00:00,42.2,15,3.266666667,115.9166667,522.9166667,4389796581
 07/10  19:00:00,41.90833333,15,4.1,69.66666667,288.5833333,4233989461
 07/10  20:00:00,41.05833333,15.58333333,3.225,14.58333333,42.91666667,3633299162
 07/10  21:00:00,37.975,18.91666667,2.891666667,0,0,3472842541
 07/10  22:00:00,34.46666667,26.25,3.1,0,0,2136587343
 07/10  23:00:00,33.3,31.16666667,2.808333333,0,0,1915041089
 07/10  24:00:00,32.65833333,31.41666667,2.6,0,0,2047724832
 07/11  01:00:00,31.90833333,32.75,2.6,0,0,1817006298
 07/11  02:00:00,30.70833333,37.5,2.6,0,0,1928599107
 07/11  03:00:00,29.35833333,38.25,2.6,0,0,1773660512
 07/11  04:00:00,28.25833333,39.33333333,1.958333333,0,0,1804827796
 07/11  05:00:00,27.45,42.75,1.208333333,0,0,1946450059
 07/11  06:00:00,27.2,41.08333333,2.516666667,16.33333333,28.83333333,2527575244
 07/11  07:00:00,28.83333333,37.25,3.6,74.75,217.6666667,2956042677
 07/11  08:00:00,31.28333333,33.66666667,3.016666667,104.9166667,542.8333333,5159406389
 07/11  09:00:00,34.18333333,29.66666667,2.6,138.5,686.6666667,5293029992
 07/11  10:00:00,36.24166667,26.83333333,1.666666667,164.9166667,762.1666667,5275583946
 07/11  11:00:00,37.98333333,23.66666667,1.933333333,183.0833333,806.5833333,5359989952
 07/11  12:00:00,40.18333333,20.25,3.475,192.8333333,830.8333333,5181419926
 07/11  13:00:00,41.45,19,4.391666667,196.1666667,836.6666667,5516790341
 07/11  14:00:00,42.63333333,18.41666667,6.116666667,192.5833333,829.75,5664205159
 07/11  15:00:00,43.3,18,6.616666667,181.8333333,805.8333333,5773501627
 07/11  16:00:00,43.94166667,17.41666667,7.366666667,168.5,755.6666667,6030187629
 07/11  17:00:00,44.4,16.41666667,7.616666667,168,648.0833333,5540238126
 07/11  18:00:00,43.75833333,16.58333333,6.033333333,143.0833333,455.3333333,4606963372
