oa_temp,oa_radiation,zone_temp,zone_clg_tstat,zone_occ
28.1,0.0,28.144780362372792,29.60571445127933,0.0
26.9,0.0,27.86490259141766,27.85595153449124,0.0
25.6,0.0,26.868182611029667,26.789267873576293,0.0
24.4,0.0,23.35496997771224,23.24814912353949,0.0
23.3,36.0,23.25469794916126,23.247956162689626,0.0
26.1,401.0,22.511228429886955,22.4646688973456,0.0
29.4,595.0,25.36467561225447,28.92940916619948,0.0
32.8,574.0,26.712482724773785,26.80892009394567,0.0
32.8,538.0,27.584103973186267,27.66458062236836,0.0
35.0,200.0,22.585222562870868,22.16467595436642,0.0
36.1,759.0,25.97340393378731,29.75927881729596,0.0
37.8,636.0,27.69147277576962,28.659541126403376,0.0
39.4,686.0,23.85218676645497,23.69871288542621,0.0
39.4,803.0,23.499189744846436,23.454599737656807,0.0
38.9,763.0,23.46906474281929,23.46723607882747,0.0
39.4,745.0,24.41303481574243,24.433937943676305,0.0
38.3,625.0,26.174085535369983,26.198051453057904,0.0
37.2,332.0,25.460005767280343,25.455560149136925,0.0
35.6,0.0,24.33605219742308,24.329833121584336,0.0
34.4,0.0,26.755453815827124,26.89482315777904,0.0
33.9,0.0,23.24230654222355,23.115950885216336,0.0
31.7,0.0,24.31019019389666,24.337157188281743,0.0
30.6,0.0,24.908073937288588,24.930894746349534,0.0
29.4,0.0,25.62685570213821,25.64855987373629,0.0
27.2,0.0,27.37534382352763,28.28140769114411,0.0
26.1,0.0,23.696123664419986,23.59739025726688,0.0
25.6,0.0,25.93657663545218,26.113875507308894,0.0
25.0,0.0,26.60772372400104,26.73931655089634,0.0
25.0,112.0,22.487438681000494,22.371603301759983,0.0
27.8,530.0,25.296767906375944,26.860358815211505,0.1
30.6,760.0,23.39235262776965,23.36419298949833,0.2
33.3,801.0,22.53348895765544,22.52041274388224,0.95
35.6,855.0,26.322459436597484,29.591084298026665,0.95
36.1,838.0,28.160410035247228,29.725056264596475,0.95
37.8,831.0,28.462941091714377,28.46717878493169,0.95
39.4,844.0,24.60381806002233,24.436910153386965,0.5
39.4,749.0,23.81262712224733,22.78137691205108,0.95
40.0,617.0,27.287022156344182,27.47386421209725,0.95
39.4,587.0,25.560114947681065,25.52121994991681,0.95
38.9,815.0,23.98379043761879,22.976305878758232,0.95
38.9,240.0,25.91140282648851,25.96141528089016,0.3
36.1,204.0,22.575810467778677,22.275108168921747,0.1
34.4,0.0,26.41175250448735,29.274563216630256,0.1
32.8,0.0,24.122556938673764,24.07023985280013,0.05
31.7,0.0,26.95848633858024,27.300178274831858,0.05
31.1,0.0,24.536987266851373,24.49368860871529,0.05
30.6,0.0,26.1173580255938,26.160544169422487,0.05
